,paa_2,paa_2,paa_2,paa_2,paa_3,paa_3,paa_3,paa_3,paa_4,paa_4,paa_4,paa_4,paa_5,paa_5,paa_5,paa_5
,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end,start,bed,o_in,end
NR. K,,,,,,,,,,,,,,,,
21,150,100,0,50,50,150,300,300,300,150,0,150,150,150,0,0
22,200,100,0,100,100,100,300,300,300,100,0,200,200,100,0,100
23,200,100,0,100,100,50,0,50,50,50,0,0,0,50,0,0
24,3650,2100,6100,7650,7650,2100,0,5550,5550,2100,0,3450,3450,2100,0,1350
25,5800,1200,0,4600,4600,1200,0,3400,3400,1200,0,2200,2200,1200,0,1000
27,2900,600,0,2300,2300,600,0,1700,1700,600,0,1100,1100,600,0,500
28,7300,1500,0,5800,5800,1400,0,4400,4400,1400,0,3000,3000,1400,0,1600
32,1840,900,2700,3640,3640,900,0,2740,2740,900,0,1840,1840,900,0,940
33,700,200,0,500,500,100,0,400,400,100,0,300,300,100,0,200
34,14800,7200,0,7600,7600,3600,0,4000,4000,3600,0,400,400,3600,0,0
35,2280,1200,3600,4680,4680,1200,0,3480,3480,1200,0,2280,2280,1200,0,1080
36,550,300,900,1150,1150,300,0,850,850,300,0,550,550,300,0,250
37,590,300,900,1190,1190,300,0,890,890,300,0,590,590,300,0,290
38,990,300,0,690,690,300,0,390,390,300,0,90,90,300,0,0
39,2000,600,0,1400,1400,600,0,800,800,600,0,200,200,600,0,0
40,550,300,900,1150,1150,300,0,850,850,300,0,550,550,300,0,250
41,1450,300,0,1150,1150,300,0,850,850,300,0,550,550,300,0,250
42,1100,600,1800,2300,2300,600,0,1700,1700,600,0,1100,1100,600,0,500
43,1550,300,0,1250,1250,300,0,950,950,300,0,650,650,300,0,350
44,1750,900,1200,2050,2050,900,0,1150,1150,900,0,250,250,900,0,0
45,1450,300,0,1150,1150,300,0,850,850,300,0,550,550,300,0,250
46,550,300,900,1150,1150,300,0,850,850,300,0,550,550,300,0,250
47,630,300,900,1230,1230,300,0,930,930,300,0,630,630,300,0,330
48,1200,600,1800,2400,2400,600,0,1800,1800,600,0,1200,1200,600,0,600
52,900,200,0,700,700,300,0,400,400,300,0,100,100,300,0,0
53,11200,7200,22000,26000,26000,10800,0,15200,15200,10800,0,4400,4400,10800,0,0
57,1000,200,0,800,800,200,0,600,600,200,0,400,400,200,0,200
58,36800,7400,0,29400,29400,7300,0,22100,22100,7300,0,14800,14800,7300,0,7500
59,1480,600,1800,2680,2680,600,0,2080,2080,600,0,1480,1480,600,0,880
